"STATECODE","STATE","QUARTER","TAX_THOUSAND","INCREASING_YN"
"AK","Alaska",63,659000,0
"AK","Alaska",64,1617000,1
"AK","Alaska",65,1000000,0
"AK","Alaska",66,4429000,1
"AK","Alaska",67,2892000,0
"AK","Alaska",68,1215000,0
"AK","Alaska",69,282000,0
"AK","Alaska",70,598000,1
"AK","Alaska",71,1028000,1
"AK","Alaska",72,1210000,1
"AK","Alaska",73,1018000,0
"AK","Alaska",74,1256000,1
"AK","Alaska",75,640000,0
"AK","Alaska",76,1037000,1
"AK","Alaska",77,1188000,1
"AK","Alaska",78,2343000,1
"AK","Alaska",79,1560000,0
"AK","Alaska",80,1419000,0
"AK","Alaska",81,1715000,1
"AK","Alaska",82,2353000,1
"AK","Alaska",83,1088000,0
"AK","Alaska",84,1553000,1
"AK","Alaska",85,995000,0
"AK","Alaska",86,1496000,1
"AK","Alaska",87,945000,0
"AK","Alaska",88,855000,0
"AK","Alaska",89,321000,0
"AK","Alaska",90,1268000,1
"AK","Alaska",91,258000,0
"AK","Alaska",92,309000,1
"AK","Alaska",93,54000,0
"AK","Alaska",94,279000,1
"AK","Alaska",95,245000,0
"AK","Alaska",96,181000,0
"AK","Alaska",97,87000,0
"AK","Alaska",98,350000,1
"AK","Alaska",99,453000,1
"AK","Alaska",100,229000,0
"AK","Alaska",101,233000,1
"AK","Alaska",102,414000,1
"AK","Alaska",103,264000,0
"AK","Alaska",104,414000,1
"AK","Alaska",105,222000,0
"AK","Alaska",106,616000,1
"AK","Alaska",107,565000,0
"AK","Alaska",108,501000,0
"AK","Alaska",109,342000,0
"AK","Alaska",110,486000,1
"AK","Alaska",111,363000,0
"AK","Alaska",112,408000,1
"AK","Alaska",113,278000,0
"AK","Alaska",114,226000,0
"AK","Alaska",115,380000,1
"AK","Alaska",116,179000,0
"AK","Alaska",117,149000,0
"AK","Alaska",118,382000,1
"AK","Alaska",119,471000,1
"AZ","Arizona",9,1309000,
"AZ","Arizona",10,1721000,1
"AZ","Arizona",11,1441000,0
"AZ","Arizona",12,1582000,1
"AZ","Arizona",13,1309000,0
"AZ","Arizona",14,1721000,1
"AZ","Arizona",15,1615000,0
"AZ","Arizona",16,1663000,1
"AZ","Arizona",17,1378000,0
"AZ","Arizona",18,1807000,1
"AZ","Arizona",19,1730000,0
"AZ","Arizona",20,1725000,0
"AZ","Arizona",21,1449000,0
"AZ","Arizona",22,1930000,1
"AZ","Arizona",23,1677000,0
"AZ","Arizona",24,1819000,1
