DATE,CPILFESL,CPIAUCSL,CUSR0000SETA02,EMVOVERALLEMV,BOPTIMP,INDPRO
01-03-2020,266.916,258.165,138.206,63.36377,234647,97.4477
01-04-2020,265.771,256.094,137.273,38.31768,203033,84.2018
01-05-2020,265.606,255.944,137.773,35.74074,201023,85.8434
01-06-2020,266.088,257.217,135.521,37.04935,209480,91.1622
01-07-2020,267.552,258.543,139.088,28.31019,231651,94.8887
01-08-2020,268.662,259.58,147.599,29.67155,238020,95.8924
01-09-2020,269.152,260.19,155.629,20.93,240689,95.6019
01-10-2020,269.332,260.352,156.986,30.43484,246410,96.6454
01-11-2020,269.816,260.721,154.739,20.4961,252494,97.1609
01-12-2020,269.984,261.564,153.041,22.38783,256678,98.2854
01-01-2021,270.114,262.2,151.708,26.75866,259673,99.4076
01-02-2021,270.522,263.346,150.649,24.27369,258191,96.3966
01-03-2021,271.347,265.028,151.174,29.48034,276754,99.1618
01-04-2021,273.669,266.727,166.035,24.67586,273296,99.2416
01-05-2021,275.715,268.599,178.796,19.78528,277096,99.9226
01-06-2021,277.922,270.955,196.878,21.95214,283032,100.4704
01-07-2021,278.794,272.184,196.969,16.62349,282328,101.1676
01-08-2021,279.306,273.092,194.645,19.64108,285971,101.0927
01-09-2021,280.017,274.214,193.626,23.48017,287804,99.844
01-10-2021,281.705,276.59,198.479,19.68397,290586,101.2341
01-11-2021,283.179,278.524,203.322,14.13678,304065,102.1319
01-12-2021,284.77,280.126,210.09,16.4977,308874,102.0234
